Entity,Female,Male,Population (historical estimates)
Zimbabwe,3.371151,2.610298,15354606
Zambia,4.682098,2.8605518,18380478
Yemen,6.0416064,3.4321616,31546694
World,4.6946654,2.93364,7764951040
Western Sahara,,,544883
Wallis and Futuna,,,11735
Vietnam,2.9719734,1.66395,95776712
Venezuela,4.957741,3.0684884,28971686
Vanuatu,5.033535,2.8540206,304414
Uzbekistan,2.4884434,1.5075772,32976946
Uruguay,7.0964017,3.175076,3428412
Upper-middle-income countries,4.936418,3.099902,2530546049
United States Virgin Islands,5.42932,3.4297953,100837
United States,7.208798,4.461773,334319680
United Kingdom,5.5157976,3.581803,66778660
United Arab Emirates,5.851866,3.8331847,9211660
Ukraine,3.845981,2.5564666,44211100
Uganda,4.5643167,2.938519,42949076
Tuvalu,5.0256987,3.0782983,10983
Turks and Caicos Islands,,,43104
Turkmenistan,2.9114015,1.7547708,6158424
Turkey,5.577801,3.6812294,83481688
Tunisia,6.509909,3.8735747,12049319
Trinidad and Tobago,4.873401,3.1297562,1519960
Tonga,5.0380087,2.8937237,104965
Tokelau,5.015744,2.926394,1775
Togo,4.072041,2.8302162,8243093
Thailand,4.318847,2.7452338,71307768
Tanzania,4.464411,2.667714,59872584
Tajikistan,2.9801147,1.7274218,9337008
Taiwan,4.5719514,2.9862983,23777742
Syria,6.9885,4.258666,20098252
Switzerland,8.729792,5.135061,8575593
Sweden,6.107891,3.6654432,10267922
Suriname,5.1849146,3.1637094,600305
Sudan,5.9983606,3.4540513,43232092
Sri Lanka,5.1206746,2.9982755,21649664
Spain,6.813025,3.0311005,47131372
South Sudan,5.8898025,3.3973892,10447677
South Korea,4.3471093,2.269293,51803832
South America,,,428318218
South Africa,4.516592,3.0818422,58087060
Somalia,3.8334107,2.2635524,15981312
Solomon Islands,5.043829,2.7799206,675000
Slovenia,4.350664,2.7182128,2112905
Slovakia,4.371295,2.7086806,5453932
Sint Maarten (Dutch part),,,43002
Singapore,3.4430523,2.091757,5866408
Sierra Leone,4.1623387,2.9072237,8046830
Seychelles,4.86875,2.93114,104386
Serbia,4.271499,2.6425004,7401056
Senegal,3.280523,2.318172,16000783
Saudi Arabia,6.0220275,3.8213835,35827364
Sao Tome and Principe,3.492637,2.6090405,214612
San Marino,7.039907,4.14493,34203
Samoa,5.048514,2.989565,211915
Saint Vincent and the Grenadines,5.4395905,3.4227874,104940
Saint Pierre and Miquelon,,,5952
Saint Martin (French part),,,33150
Saint Lucia,5.415413,3.5048308,178594
Saint Kitts and Nevis,5.4208746,3.4975638,47739
Saint Helena,,,5470
Saint Barthelemy,,,10504
Rwanda,4.2536197,2.7570972,12835029
Russia,3.842145,2.5072284,145742288
Romania,4.183105,2.6175656,19524212
Reunion,,,949423
Qatar,6.20344,4.0018024,2807242
Puerto Rico,5.5353427,3.615625,3292888
Portugal,10.191256,6.180541,10289921
Poland,3.91412,2.469096,38493600
Philippines,5.8526974,3.143611,110380800
Peru,6.9738283,4.1563544,32824864
Paraguay,8.219382,4.4107924,6530029
Papua New Guinea,5.019738,2.8081925,9542492
Panama,4.568544,2.7774696,4232538
Palestine,7.0573993,4.0328264,4909775
Palau,5.0337753,3.2955475,17939
Pakistan,4.034785,2.508031,223293280
Oman,6.296127,3.9063718,4602769
Oceania (UN),,,43278152
Oceania,,,43278474
Norway,8.393899,5.440668,5348285
Northern Mariana Islands,5.030084,3.3499916,49880
Northern America (UN),,,371967904
North Macedonia,4.6262484,2.871501,2114175
North Korea,4.5043116,2.8002715,25755442
North America,,,590497015
Niue,5.0127597,3.1702929,1943
Nigeria,3.366368,2.2741592,203304496
Niger,3.3609972,2.0724788,23443400
Nicaragua,5.425749,3.2081847,6663919
New Zealand,9.264441,5.156941,4959033
New Caledonia,,,285374
Netherlands,8.468911,5.313206,17363260
Nepal,3.757397,2.5577843,28832500
Nauru,5.033535,2.8439016,12156
Namibia,3.9724927,2.8226862,2446648
Myanmar,5.0176826,2.8091073,53040212
Mozambique,4.703034,2.692752,30285602
Morocco,6.0656657,3.6403155,36304408
Montserrat,,,4528
Montenegro,4.6819963,2.8621702,630403
Mongolia,2.6357877,1.5698504,3232435
Monaco,7.0347185,4.1323195,37059
Moldova,5.0636563,3.3212874,3109496
Micronesia (country),5.0380087,3.0387921,111392
Mexico,4.4766803,2.5486186,125085312
Mayotte,,,294502
Mauritius,4.877539,3.0359104,1296284
Mauritania,3.103577,2.2029393,4383853
Martinique,,,372254
Marshall Islands,5.0329523,2.9825213,44750
Malta,8.064114,4.7218785,503646
Mali,3.0859072,2.0190883,20567430
Maldives,4.8590364,2.9082665,504518
Malaysia,5.9386625,3.4613485,32804024
Malawi,4.497112,2.7650661,18867340
Madagascar,4.6708736,2.911909,27533134
Macao,,,663660
Luxembourg,6.786814,4.015752,619981
Lower-middle-income countries,4.049379,2.5662444,3326051409
Low-income countries,4.3250985,2.6573274,661633048
Lithuania,5.2575293,3.4432535,2849083
Liechtenstein,,,38500
Libya,6.801714,4.210512,6569085
Liberia,3.989334,2.865255,4985290
Lesotho,4.0402317,3.0217798,2225710
Lebanon,7.7177625,4.2938743,5781912
Latvia,4.641434,2.9976747,1916552
Latin America and the Caribbean (UN),,,646846784
Laos,5.688371,3.3162353,7212058
Kyrgyzstan,2.5333931,1.4954666,6323643
Kuwait,5.9094477,3.659614,4441105
Kosovo,,,1686856
Kiribati,5.0379567,2.863769,124252
Kenya,4.0005283,2.6134748,50951452
Kazakhstan,2.5881255,1.5833672,18754260
Jordan,6.375153,3.8240798,10698682
Jersey,,,107055
Japan,2.7251344,1.975151,125791680
Jamaica,5.0768456,3.1886344,2813776
Italy,7.3964133,3.9569168,59727936
Israel,4.609171,2.8366938,8607922
Isle of Man,,,83950
Ireland,8.885287,5.0158086,4896021
Iraq,7.1490126,3.6632023,41563524
Iran,8.987118,5.735966,86564208
Indonesia,4.528209,2.66611,269582880
India,3.577764,2.3886878,1383112064
Iceland,6.5679708,3.8376281,360787
Hungary,4.3353786,2.7101488,9771799
Hong Kong,,,7496121
Honduras,5.0485196,2.921975,9958832
High-income countries,6.3255606,3.713458,1214846354
Haiti,5.7743173,3.1781406,11160441
Guyana,5.487045,3.278317,798761
Guinea-Bissau,3.490562,2.4139624,1970460
Guinea,3.778589,2.4720008,12877537
Guernsey,,,62391
Guatemala,5.2596574,3.0464597,17106338
Guam,5.03213,3.1017315,168632
Guadeloupe,,,395487
Grenada,5.428626,3.419275,122737
Greenland,6.206558,3.9321163,55955
Greece,7.3997173,4.334684,10574026
Gibraltar,,,32715
Ghana,3.3832874,2.4719284,31522294
Germany,8.402811,4.397803,83148144
Georgia,3.0805757,1.983132,3770814
Gambia,3.7493873,2.6184027,2508882
Gabon,4.5735574,3.2449968,2242788
French Polynesia,,,299730
French Guiana,,,284088
France,8.551849,4.098528,64399760
Finland,4.8318005,3.3063612,5521539
Fiji,5.0379567,3.0324214,918472
Faroe Islands,,,51708
Falkland Islands,,,3729
European Union (27),6.7800674,3.7612329,445027038
Europe (UN),,,746189632
Europe (IHME GBD),5.8618226,3.4441643,
Europe,,,747418251
Ethiopia,4.2405276,2.3681285,114120592
Eswatini,3.9592257,2.7993824,1169620
Estonia,4.185626,2.7273617,1327039
Eritrea,4.370878,2.8209593,3498819
Equatorial Guinea,4.3987823,3.0233488,1553037
El Salvador,5.39547,3.220344,6280222
Egypt,5.792835,3.4958541,105618672
Ecuador,6.544623,3.8795671,17343742
East Timor,4.8680835,2.4909735,1280442
Dominican Republic,5.674055,3.3416665,10881886
Dominica,5.421805,3.4289238,71446
Djibouti,3.872241,2.6127872,1073999
Denmark,6.234992,3.6984282,5795879
Democratic Republic of Congo,4.3814,2.8670247,89906896
Czechia,4.03428,2.5033064,10536876
Cyprus,8.306115,4.8534346,1228840
Curacao,,,193119
Cuba,5.34773,3.5010855,11316699
Croatia,4.596988,2.8811507,4129749
Cote d'Ivoire,3.6918228,2.6008239,26147544
Costa Rica,5.196954,3.2539504,5084527
Cook Islands,5.043829,3.1762934,17133
Congo,4.302559,2.9602454,5570736
Comoros,4.173842,2.8603868,790993
Colombia,5.62448,3.864172,50187404
China,3.9123268,2.607705,1421864064
Chile,8.002295,2.9697776,19039484
Chad,3.839413,2.3699014,16126868
Central African Republic,5.061679,3.250727,5209329
Cayman Islands,,,66152
Cape Verde,3.4875126,2.74141,577037
Canada,5.3912344,3.4687572,37522584
Cameroon,3.636283,2.5353284,25782342
Cambodia,5.8187785,3.1145768,16207746
Burundi,4.293992,2.5664082,11874838
Burkina Faso,3.5156753,2.3002393,20951638
Bulgaria,4.366515,2.6990325,7052536
Brunei,3.6439302,2.2615967,438058
British Virgin Islands,,,30631
Brazil,9.638657,5.4076004,211782880
Botswana,4.050668,3.041947,2499705
Bosnia and Herzegovina,4.516534,2.8379347,3360718
Bonaire Sint Eustatius and Saba,,,25597
Bolivia,7.2322555,4.0337887,11777318
Bhutan,3.8149939,2.8534503,767467
Bermuda,5.423864,3.598997,63833
Benin,3.640502,2.4172635,12290443
Belize,5.2448,3.0960329,389103
Belgium,6.0152836,4.2502494,11510569
Belarus,4.2872787,2.7869556,9673971
Barbados,5.4099674,3.51036,280193
Bangladesh,3.616076,2.724932,165516224
Bahrain,6.5763717,4.144238,1494195
Bahamas,5.426344,3.441545,404563
Azerbaijan,3.0638323,1.9547939,10232761
Austria,7.7903676,4.425519,8879939
Australia,7.0762944,4.605393,25357168
Asia (UN),,,4628967424
Asia (IHME GBD),4.0117292,2.6399329,
Asia,,,4627738749
Aruba,,,106458
Armenia,3.892276,2.4837592,2820604
Argentina,6.3472843,3.6509726,44745516
Antigua and Barbuda,5.421805,3.4724135,92127
Anguilla,,,15408
Angola,4.498323,2.7853687,32353592
Andorra,7.0511117,4.24979,76361
American Samoa,5.0316997,3.0632339,47341
America (IHME GBD),7.0097833,4.1160626,
Algeria,6.0481563,3.5308497,42705372
Albania,4.924606,3.0177317,2873883
Africa (UN),,,1327701120
Africa (IHME GBD),4.371137,2.7521288,
Africa,,,1327701380
Afghanistan,6.154591,3.3758194,37769496
